City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
364,Shenjiamen,CN,76.91,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
366,Carauari,BR,82.94,broken clouds,-4.8828,-66.8958,Hotel Fellip
368,Laharpur,IN,79.88,clear sky,27.7167,80.9,Babu Ji Moeed
371,Kavaratti,IN,79.47,overcast clouds,10.5669,72.642,Green leaf
377,Gimli,CA,75.22,clear sky,50.6336,-96.9907,Lakeview Gimli Resort
385,Ouahigouya,BF,79.63,scattered clouds,13.5828,-2.4216,Hotel Liberte
386,Hasaki,JP,75.6,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
387,Hobyo,SO,75.15,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
388,Sena Madureira,BR,87.08,few clouds,-9.0656,-68.6569,Hotel Central
389,Conselice,IT,77.94,scattered clouds,44.5119,11.8312,agriturismo del merlo
390,Karpathos,GR,75.16,clear sky,35.507,27.2132,Alex
391,Cockburn Town,TC,83.41,clear sky,21.4612,-71.1419,Osprey Beach Hotel
395,Portland,US,87.87,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
396,Black River,JM,82.22,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
398,Mandapam,IN,81.3,overcast clouds,9.2833,79.1167,Tanvi Chachaa Chalet
402,Baijiantan,CN,76.95,clear sky,45.6333,85.1833,
404,Parnarama,BR,81.9,broken clouds,-5.6817,-43.0933,Hotel São Luiz
406,Gizo,SB,82.87,scattered clouds,-8.103,156.8419,Imagination Island
408,Fare,PF,77.41,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
409,Victoria,HK,86.18,overcast clouds,22.2855,114.1577,Mini Central
412,Alto Araguaia,BR,79.9,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
413,Ugoofaaru,MV,80.83,overcast clouds,5.6667,73.0,Ungoofaaru Inn
414,Leogane,HT,88.0,few clouds,18.5108,-72.6339,Family Health Ministries Guest House
420,Daru,PG,80.33,broken clouds,-9.0763,143.2092,Daru Lodge
423,Beba,CU,84.47,scattered clouds,22.4437,-79.7253,Hostal Cubaustria
426,Avera,US,86.05,overcast clouds,33.194,-82.5271,
427,Itaueira,BR,82.98,scattered clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
433,Nauta,PE,82.18,broken clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
435,Maneadero,MX,83.1,clear sky,31.7167,-116.5667,Casa De Thompson
436,Galle,LK,77.79,overcast clouds,6.0367,80.217,Amangalla
437,Mogadishu,SO,75.38,few clouds,2.0371,45.3438,Hotel Juba
439,Hinundayan,PH,78.08,broken clouds,10.3523,125.2506,Pantalan's lodge
444,Hami,CN,75.56,clear sky,42.8,93.45,Laoyutang Resort
445,Wajima,JP,75.43,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
446,Progreso,MX,82.11,broken clouds,21.2833,-89.6667,Playa Linda Hotel
454,Bambanglipuro,ID,75.07,overcast clouds,-7.95,110.2833,Puri Brata
457,Hirado,JP,78.39,overcast clouds,33.3597,129.5531,Samson Hotel
462,Tucuman,AR,82.4,smoke,-26.8241,-65.2226,Dallas Hotel Tucuman
463,Basna,IN,76.41,overcast clouds,21.2833,82.8167,Hotel Grand Alfa [BASNA]
467,Atambua,ID,75.0,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
469,Santa,PH,80.08,scattered clouds,17.486,120.4348,Monte Leah Beach Resort
470,Kaele,CM,75.6,overcast clouds,10.1092,14.4508,Hôtel Les Palmiers
479,Batticaloa,LK,80.01,overcast clouds,7.7102,81.6924,Grand Star Guest House
481,Kudahuvadhoo,MV,82.02,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
484,Taganak,PH,77.14,overcast clouds,6.0833,118.3,Taganak
488,Washougal,US,88.02,clear sky,45.5826,-122.3534,Camas Boutique Hotel
