City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,59.85,90,32,5.5,scattered clouds
292,Tera,NE,14.0078,0.7531,73.96,79,71,25.64,moderate rain
293,Luganville,VU,-15.5333,167.1667,83.17,70,8,6.02,clear sky
294,Bonthe,SL,7.5264,-12.505,76.55,87,100,9.71,light rain
295,Lasa,IT,46.6166,10.7002,65.28,96,96,5.01,overcast clouds
296,Umba,RU,66.6871,34.3429,40.33,79,100,3.67,overcast clouds
297,Kitui,KE,-1.367,38.0106,60.42,68,77,6.49,broken clouds
298,Tilichiki,RU,60.4667,166.1,51.51,63,77,8.86,broken clouds
299,Codrington,AU,-38.2667,141.9667,56.03,94,100,18.3,light rain
300,Kununurra,AU,-15.7667,128.7333,67.98,94,3,0.0,clear sky
301,Tigil,RU,57.8,158.6667,63.21,63,58,12.39,broken clouds
302,Akureyri,IS,65.6835,-18.0878,40.93,93,20,3.44,few clouds
303,Tuatapere,NZ,-46.1333,167.6833,47.41,73,45,3.09,scattered clouds
304,Tocopilla,CL,-22.092,-70.1979,59.77,68,22,7.14,few clouds
305,Tumba,SE,59.1986,17.8332,48.22,87,92,3.44,overcast clouds
306,Griffith,US,41.5284,-87.4237,80.53,63,0,8.05,clear sky
307,Namatanai,PG,-3.6667,152.4333,84.13,68,40,6.91,scattered clouds
308,Mahebourg,MU,-20.4081,57.7,70.09,78,75,6.91,broken clouds
309,Abonnema,NG,4.7084,6.7931,75.49,90,38,4.09,scattered clouds
310,Laguna,US,38.421,-121.4238,110.08,13,0,9.22,clear sky
311,Turukhansk,RU,65.8167,87.9833,39.51,83,100,14.81,overcast clouds
312,Provideniya,RU,64.3833,-173.3,48.36,81,100,13.42,overcast clouds
313,Surt,LY,31.2089,16.5887,79.45,65,0,11.18,clear sky
314,Pochutla,MX,15.7432,-96.4661,83.82,79,93,3.31,overcast clouds
315,Eureka,US,40.8021,-124.1637,80.37,73,78,8.99,broken clouds
316,Stornoway,GB,58.2093,-6.3865,55.92,94,40,1.14,fog
317,Kirakira,SB,-10.4544,161.9205,82.2,77,85,9.69,overcast clouds
318,Pringsewu,ID,-5.3582,104.9744,72.68,96,100,2.73,overcast clouds
319,Lalmohan,BD,22.3384,90.7419,82.06,80,100,1.79,overcast clouds
320,Saint-Augustin,CA,51.226,-58.6502,54.54,71,86,4.12,overcast clouds
321,Usuki,JP,33.1081,131.7878,72.97,76,94,4.7,overcast clouds
322,Grenville,GD,12.1167,-61.6167,80.65,73,90,11.59,overcast clouds
323,Neftcala,AZ,39.3742,49.2472,70.27,67,100,12.86,overcast clouds
324,Makokou,GA,0.5738,12.8642,70.7,90,28,4.05,scattered clouds
325,San-Pedro,CI,4.7485,-6.6363,73.13,93,56,5.26,broken clouds
326,Poum,NC,-20.2333,164.0167,72.23,77,51,5.53,broken clouds
327,Olinda,BR,-8.0089,-34.8553,74.93,69,20,14.97,few clouds
328,Yar-Sale,RU,66.8333,70.8333,31.05,85,66,8.68,broken clouds
329,Trojes,AL,41.756,19.962,64.89,58,2,5.1,clear sky
330,Esperance,AU,-33.8667,121.9,55.24,67,52,14.2,broken clouds
331,Chabahar,IR,25.2919,60.643,78.62,79,22,4.61,few clouds
332,Inta,RU,66.0317,60.1659,32.41,89,53,5.5,broken clouds
333,Mookane,BW,-23.688,26.6595,58.42,78,0,7.67,clear sky
334,Hay River,CA,60.8156,-115.7999,55.38,47,75,12.66,broken clouds
335,Prince Rupert,CA,54.3161,-130.3201,58.69,90,100,13.8,overcast clouds
336,Faya,SA,18.3851,42.4509,71.71,29,51,6.73,broken clouds
337,Sola,VU,-13.8833,167.55,81.18,71,32,14.07,scattered clouds
338,Nishihara,JP,26.1842,127.7558,79.88,78,20,16.11,few clouds
339,Nuevitas,CU,21.5453,-77.2644,82.02,73,1,7.83,clear sky
340,Marang,MY,5.2056,103.2059,75.11,85,95,5.82,overcast clouds
341,Tawang,IN,27.5833,91.8667,55.36,95,100,1.59,overcast clouds
342,Narsaq,GL,60.9167,-46.05,48.42,85,45,3.44,scattered clouds
343,Evensk,RU,61.95,159.2333,46.11,74,100,7.25,light rain
344,Shubarkuduk,KZ,49.1447,56.4872,48.7,50,52,4.38,broken clouds
345,Cumpas,MX,29.9833,-109.7833,82.09,57,100,7.76,overcast clouds
346,Guerande,FR,47.3291,-2.4283,63.46,79,45,22.28,scattered clouds
